implementation,threads,N,seed,vsync,repetitions,mean_fps,stddev_fps,min_fps,max_fps,mean_frame_ms,mean_minimum_interval_fps,mean_p95_frame_ms,mean_intervals_below_60_percent
openmp,4,1000,42,on,10,240.01026381799093,0.04425493781424259,239.95636793376406,240.06438120492342,4.166488610494683,239.81649790475868,4.74478,0.0
sequential,1,1000,42,on,10,240.00010294087616,0.024680728400735492,239.97947559724935,240.05575686167418,4.166664919151641,239.80320519717702,4.75518,0.0
openmp,4,10000,42,on,10,154.2995431204901,2.8638302644925933,148.97518705198124,158.97842459897777,6.4829216419118865,152.52620595138586,8.257819999999999,0.0
sequential,1,10000,42,on,10,40.13106650772691,3.6531089755921773,34.94528500242887,47.21810855695874,25.097506230683372,18.975559451171694,56.12524,88.0
openmp,4,25000,42,on,10,28.735273197913745,1.0540256029405752,26.963468993425405,30.281262683398385,34.84283699530415,19.129361865885848,55.43149999999999,100.0
sequential,1,25000,42,on,10,6.950422430404254,0.0819534759584066,6.830272065023149,7.079232995996082,143.89412878787877,5.911903969788864,179.22383,100.0
